night_market_id,city,night_market,longitude,latitude,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,status
1,基隆市,廟口夜市,"121.74308830090091,121.74398920180181,121.74398920180181,121.74398920180181","25.128401200900903,25.128401200900903,25.129302101801805,25.130203002702707",0000–2359,0000–2359,0000–2359,0000–2359,0000–2359,0000–2359,0000–2359,
2,基隆市,八斗子夜市,121.7898128,25.14262098,,,,,,1700–0000,1700–0000,
3,基隆市,七堵夜市,121.7028501,25.0879382,1030–2330,1030–2330,1030–2330,1030–2330,1030–2330,1030–2330,1030–2330,
4,臺北市,士林夜市,"121.52459270180181,121.52549360270271,121.52459270180181,121.52549360270271,121.5236918009009,121.52459270180181,121.52549360270271,121.52639450360361,121.5236918009009","25.0869867009009,25.0869867009009,25.087887601801803,25.087887601801803,25.088788502702705,25.088788502702705,25.088788502702705,25.088788502702705,25.089689403603607",1600–0000,1600–0000,1600–0000,1600–0000,1600–0000,1600–0000,1600–0000,
5,臺北市,華西街夜市,121.4984114,25.0383906,1600–0000,1600–0000,1600–0000,1600–0000,1600–0000,1600–0000,1600–0000,
6,臺北市,艋舺夜市,121.5077083,25.0327077,1630–0400,1630–0400,1630–0400,1630–0400,1630–0400,1630–0400,1630–0400,
7,臺北市,饒河街觀光夜市,"121.5760415036036,121.5769424045045","25.050974700900902,25.050974700900902",1700–0000,1700–0000,1700–0000,1700–0000,1700–0000,1700–0000,1700–0000,
8,臺北市,南機場觀光夜市,135.1711969,34.2312602,1700–0000,1700–0000,1700–0000,1700–0000,1700–0000,1700–0000,1700–0000,
9,臺北市,臨江街觀光夜市,121.5543785,25.0301924,1800–0000,1800–0000,1800–0000,1800–0000,1800–0000,1800–0000,1800–0000,
10,臺北市,公館夜市,121.5349935,25.0131399,1500–2345,1500–2345,1500–2345,1500–2345,1500–2345,1500–2345,1500–2345,
11,臺北市,寧夏夜市,121.5150721,25.05547952,1730–0000,1730–0000,1730–0000,1730–0000,1730–0000,1730–0000,1730–0000,
12,臺北市,師大夜市,121.529142,25.0241559,1800–0000,1800–0000,1800–0000,1800–0000,1800–0000,1800–0000,1800–0000,
13,臺北市,延三夜市,121.5111601,25.0643684,1800–0000,1800–0000,1800–0000,1800–0000,1800–0000,1800–0000,1800–0000,
14,臺北市,景美夜市,121.5416987,24.9906941,1600–0000,1600–0000,1600–0000,1600–0000,1600–0000,1600–0000,1600–0000,
15,臺北市,大龍街夜市,118.1605646,39.6683135,1600–0000,1600–0000,1600–0000,1600–0000,1600–0000,1600–0000,1600–0000,
16,臺北市,雙城街夜市,121.52436,25.0642926,1800–0000,1800–0000,1800–0000,1800–0000,1800–0000,1800–0000,1800–0000,
17,臺北市,遼寧街夜市,121.5421508,25.04963777,1700–0000,1700–0000,1700–0000,1700–0000,1700–0000,1700–0000,1700–0000,
18,臺北市,石牌夜市,121.4991441,25.1251553,1700–0000,1700–0000,1700–0000,1700–0000,1700–0000,1700–0000,1700–0000,
19,臺北市,林口街夜市,121.5762,25.0383,1700–0000,1700–0000,1700–0000,1700–0000,1700–0000,1700–0000,1700–0000,
20,臺北市,737夜市,,,1700–0000,1700–0000,1700–0000,1700–0000,1700–0000,1700–0000,1700–0000,
21,臺北市,社子夜市,120.2446,23.1613,1700–0000,1700–0000,1700–0000,1700–0000,1700–0000,1700–0000,1700–0000,
22,新北市,四腳亭吉安宮夜市,,,1700–2300,,,1700–2300,,,,
23,新北市,樂華夜市,121.5118696,25.0084066,1600–0000,1600–0000,1600–0000,1600–0000,1600–0000,1600–0000,1600–0000,
24,新北市,湳雅夜市,121.4556312,25.0068139,1700–0000,1700–0000,1700–0000,1700–0000,1700–0000,1700–0000,1700–0000,
25,新北市,裕民夜市,139.5459571,35.7516275,1700–2300,1700–2300,1700–2300,1700–2300,1700–2300,1700–2300,1700–2300,
26,新北市,樹林興仁花園夜市,121.4161795,25.0026813,,,1700–0000,,1700–0000,1700–0000,1700–0000,
27,新北市,三和夜市,121.5006067,25.0653196,1700–0000,1700–0000,1700–0000,1700–0000,1700–0000,1700–0000,1700–0000,
28,新北市,中和興南夜市,136.1313502,34.7669394,1730–0000,1730–0000,1730–0000,1730–0000,1730–0000,1730–0000,1730–0000,
29,新北市,新莊廟街夜市,116.6437786,40.3117268,1600–0000,1600–0000,1600–0000,1600–0000,1600–0000,1600–0000,1600–0000,
30,新北市,西盛夜市,121.5265155,25.0617278,,,,,1700–2300,,,
31,新北市,蘆洲廟口夜市,135.7680436,35.0119867,1700–2300,1700–2300,1700–2300,1700–2300,1700–2300,1700–2300,1700–2300,
32,新北市,淡水英專夜市,,,0900–2200,0900–2200,0900–2200,0900–2200,0900–2200,0900–2200,0900–2200,
33,新北市,集應廟夜市,135.7454449,35.0191155,,,1600–2200,,,,1600–2200,
34,新北市,淡水沙崙夜市,,,,,,,1700–2300,,1700–2300,
35,新北市,三芝夜市,136.6973431,35.0672635,,,,,,1700–2200,,
36,新北市,鶯歌夜市,135.169547,34.24038,,,,,,1700–2300,,
37,新北市,鶯歌龍鳳夜市,121.3328145,24.97322322,,1700–2300,,,1700–2300,1700–2300,1700–2300,
38,新北市,林口夜市,121.3872538,25.0805385,,,1700–2330,,,,1700–2330,
39,新北市,八里廖添丁廟夜市,,,,,,,,1700–2200,,
40,新北市,西雲路夜市,135.7139887,34.9934699,,,1530–2230,,,,,
41,新北市,御史路夜市,113.1122553,30.561509,,,,,,1730–2300,,
42,桃園市,桃園觀光夜市,"121.30779450180181,121.30779450180181","25.0029049009009,25.003805801801803",1700–0000,1700–0000,1700–0000,1700–0000,1700–0000,1700–0000,1700–0000,
43,桃園市,中壢觀光夜市,121.2166787,24.9617423,1700–0000,1700–0000,1700–0000,1700–0000,1700–0000,1700–0000,1700–0000,
44,桃園市,中原夜市,121.2395885,24.95486,1600–0000,1600–0000,1600–0000,1600–0000,1600–0000,1600–0000,1600–0000,
45,桃園市,興仁花園夜市,117.1651398,31.7437548,,1700–0000,,,1700–0000,1700–0000,1700–0000,
46,桃園市,南崁五福夜市,,,,1730–2300,,,1730–2300,1730–2300,,
47,桃園市,大竹夜市,121.2641043,25.0218157,1700–2200,,,1700–2200,,,,
48,桃園市,楊梅觀光夜市,121.1363179,24.89373875,,,,,1700–2300,,,
49,桃園市,埔心後站夜市,117.2452463,31.7441436,,,1700–2300,,,1700–2300,,
50,桃園市,大溪夜市,121.0389322,25.0192056,,,,1700–2130,,,,
51,桃園市,大園夜市,121.1919877,25.0612325,,,,,1700–0000,,1700–0000,
52,桃園市,菓林夜市,121.2589983,25.0737714,,,,1700–2300,,1700–2300,,
53,桃園市,新坡夜市,121.0819598,24.9562409,1700–2300,,,,,1700–2300,,
54,桃園市,新屋夜市,121.0819598,24.9562409,,,,,,,1700–2300,
55,桃園市,草漯夜市,121.1356117,25.0448604,,1700–2300,,1700–2300,,,,
56,桃園市,觀音夜市,121.0546909,25.0338589,,,,1700–2300,,,,
57,桃園市,富岡夜市,121.080924,24.9378147,,,,,,1700–2300,,
58,桃園市,山腳夜市,121.1731184,25.0161451,,,1700–2300,,,,,
59,桃園市,復興夜市,135.7707951,34.9324937,1700–2200,,,,,,,
60,桃園市,金山夜市,,,,1600–0000,,,,1600–0000,,
61,桃園市,深坑慈聖夜市,,,,1800–2300,,,1800–2300,,,
62,桃園市,五股工業區夜市,,,,1630–2200,,,,,,
63,桃園市,汐止觀光夜市,,,1700–2300,1700–2300,1700–2300,1700–2300,1700–2300,1700–2300,1700–2300,
64,桃園市,汐止樟樹夜市,,,,,1700–2300,,1700–2300,,1700–2300,
65,桃園市,汐止弘道街夜市,,,,1700–2300,,,1700–2300,,,
66,桃園市,長興街福德祠夜市,,,,,,1700–2100,,,,
67,桃園市,貢寮澳底夜市,,,1700–2130,,,,1700–2130,,,
68,新竹市,城隍廟夜市,135.7685522,35.0104435,1100–2100,1100–2100,1100–2100,1100–2100,1100–2100,1100–2100,1100–2100,
69,新竹市,清大夜市,120.9975318,24.7984641,1100–2300,1100–2300,1100–2300,1100–2300,1100–2300,1100–2300,1100–2300,
70,新竹市,後站夜市,120.9742215,24.8009238,,1700–2300,,1700–2300,,,,
71,新竹市,青草湖夜市,114.8196897,30.7096956,,,1800–2300,,,,,
72,新竹市,內湖夜市,120.9082092,24.7438208,1800–2300,,,1800–2300,,,,
73,新竹市,中正台夜市,120.9680255,24.80335783,1300–2200,1300–2200,1300–2200,1300–2200,1300–2200,1300–2200,1300–2200,
74,新竹市,樹林頭夜市,135.7583661,35.0041208,,,,,,,,停止營業
75,新竹縣,竹北夜市,120.9942924,24.8393227,,1700–2300,,,1700–2300,1700–2300,1700–2300,
76,新竹縣,竹東沿河街夜市,140.0499519,36.9707659,,,,,,1800–2300,,
77,新竹縣,竹東二重埔夜市,121.0573887,24.7648369,,,,1730–2300,,,,
78,新竹縣,湖口夜市,121.0492902,24.9034844,,,,1730–2300,,,,
79,新竹縣,關西夜市,121.1783661,24.7830105,,1730–2130,,,,,,
80,新竹縣,新庄子夜市,120.9847052,24.901768,,,,,1730–2230,,,
81,新竹縣,新豐夜市,120.995921,24.86982571,1800–2300,,,,,,,
82,新竹縣,新埔夜市,121.0811585,24.8243546,,,1730–2300,,,,,
83,新竹縣,北埔夜市,135.7580328,34.950237,,,,,1730–2200,,,
84,新竹縣,竹中夜市,121.0322743,24.7810026,1730–2200,,,,,,,
85,宜蘭縣,羅東夜市,121.7687691,24.67628607,1700–0000,1700–0000,1700–0000,1700–0000,1700–0000,1700–0000,1700–0000,
86,宜蘭縣,東門觀光夜市,,,1700–0000,1700–0000,1700–0000,1700–0000,1700–0000,1700–0000,1700–0000,
87,宜蘭縣,冬山夜市,119.1882451,36.6310901,,,,,,1800–2200,,
88,宜蘭縣,清溝夜市,121.7609301,24.6640079,,,1800–2300,,,,,
89,宜蘭縣,員山夜市,113.3726326,33.6149488,,,,1730–2230,,,,
90,宜蘭縣,馬賽夜市,,,,,,,,1830–2130,,
91,宜蘭縣,頭城夜市,121.8460564,24.9383088,,,,,1730–2230,,,
92,宜蘭縣,三星夜市,,,,,,,1730–2200,,,
93,宜蘭縣,蘇澳夜市,,,,,,,,,1730–2200,
94,宜蘭縣,礁溪溫泉夜市,,,,,,,,,1700–2200,
95,宜蘭縣,南方澳夜市,,,1700–2200,,,,,,,
96,宜蘭縣,南澳夜市,135.6988355,35.0150579,,1700–2200,,,,,,
97,苗栗縣,苗栗英才觀光夜市,,,,,1700–0000,,1700–0000,1700–0000,,
98,苗栗縣,頭份建國夜市,,,,1700–2300,,,,,,
99,苗栗縣,苑裡夜市,120.6525927,24.4399301,,,,,,1700–2300,,
100,苗栗縣,後龍夜市,116.6260859,40.3168931,,,,1700–2300,,,,
101,苗栗縣,公館夜市,121.5349935,25.0131399,,1700–2300,,,1700–2300,,,
102,苗栗縣,通霄夜市,135.7546227,35.0317737,,,,,1700–2300,,,
103,苗栗縣,銅鑼夜市,,,1700–2300,,,,,,,
104,苗栗縣,三義夜市,,,,,1700–2300,,,,,
105,苗栗縣,卓蘭夜市,,,,,,,1700–2300,,,
106,苗栗縣,國泰夜市,120.8765901,24.67772582,,,,,,1700–2300,,
107,苗栗縣,中港夜市,134.8279641,35.5376246,,,1700–2200,,,,,
108,苗栗縣,建國路龍鳳夜市,,,,1600–2300,,,,,,
109,苗栗縣,頭份尚順夜市,,,,,,,,1600–2200,,
110,苗栗縣,苑裡29夜市,,,,,,,,,,不定期
111,苗栗縣,大湖夜市,140.1116252,37.5634324,,,,1800–2200,,,,
112,臺中市,逢甲夜市,"120.6456170009009,120.6465179018018,120.6465179018018","24.176046800900902,24.177848602702706,24.17874950360361",1300–0100,1300–0100,1300–0100,1300–0100,1300–0100,1300–0100,1300–0100,
113,臺中市,一中商圈,120.6868634,24.1537456,1100–2200,1100–2200,1100–2200,1100–2200,1100–2200,1100–2200,2300,
114,臺中市,中華路夜市,120.7193906,24.0950436,1600–0400,1600–0400,1600–0400,1600–0400,1600–0400,1600–0400,1600–0400,
115,臺中市,忠孝路夜市,141.5426142,42.9645281,1500–2300,1500–2300,1500–2300,1500–2300,1500–2300,1500–2300,1500–2300,
116,臺中市,東海別墅夜市,120.5906076,24.1815909,0100–2359,0100–2359,0100–2359,0100–2359,0100–2359,0100–2359,0100–2359,
117,臺中市,霧峰樹仁商圈,135.756531,35.0248186,0100–2359,0100–2359,0100–2359,0100–2359,0100–2359,0100–2359,0100–2359,
118,臺中市,豐原廟東夜市,120.7193177,24.25113156,1000–2300,1000–2300,1000–2300,1000–2300,1000–2300,1000–2300,1000–2300,
119,臺中市,太平臺中小鎮夜市,140.1962509,39.7308886,1630–0000,1630–0000,1630–0000,1630–0000,1630–0000,1630–0000,1630–0000,
120,臺中市,大甲蔣公路夜市,135.1857931,34.230092,0000–2359,0000–2359,0000–2359,0000–2359,0000–2359,0000–2359,0000–2359,
121,臺中市,SOGO停車場夜市,,,1100–2200,1100–2200,1100–2200,1100–2200,1100–2200,1100–2200,1100–2200,
122,臺中市,潭子勝利夜市,120.6980421,24.2161154,1700–2300,,,1700–2300,,1700–2300,,
123,臺中市,大雅夜市,139.7556153,35.932811,,,1730–2330,,1730–2330,1730–2330,1730–2330,
124,臺中市,葫蘆墩觀光夜市,,,,,1700–0000,,1700–0000,1700–0000,1700–0000,
125,臺中市,潭子頭家夜市,135.7545942,35.0194661,,1700–2200,,,1700–2200,,,
126,臺中市,八方國際觀光夜市,,,,,1700–0000,,1700–0000,1700–0000,1700–0000,
127,臺中市,大里勝利大夜市,120.6858481,24.10111412,1700–2300,,,1700–2300,,,,
128,臺中市,大里塗城夜市,135.7605017,34.9383131,,,1800–2200,,,1800–2200,,
129,臺中市,大肚夜市,120.5452483,24.15534984,,,,,,,1700–2300,
130,臺中市,梧棲夜市,120.5301128,24.2478949,,1700–2300,,,1700–2300,,,
131,臺中市,亞洲大學夜市,135.767579,35.01203,,1600–2200,,,,,,
132,臺中市,霧峰德泰街夜市,135.7599719,34.934125,,1600–0000,,,1600–0000,,,
133,臺中市,霧峰四德路夜市,,,,,,1700–2200,,,,
134,臺中市,福順宮夜市,135.7574052,34.9994257,,,,1700–2300,,,,
135,臺中市,大里文化街夜市,135.748704,35.025019,,,1800–2200,,,1800–2200,,
136,臺中市,靜宜夜市,119.8584448,32.3075876,1800–0030,,1800–0030,1800–0030,,,,
137,臺中市,大甲夜市,135.2877517,34.7348485,,1630–2230,,1630–2230,,,,
138,臺中市,四張犁夜市,120.6794037,24.1943689,,,,,,,1700–2300,
139,臺中市,捷運總站夜市,,,1700–0000,,1700–0000,,1700–0000,1700–0000,1700–0000,
140,臺中市,清水五權夜市,120.5679204,24.276644,,,1700–0000,,1700–0000,1700–0000,1700–0000,
141,臺中市,靜宜夜市,119.8584448,32.3075876,1800–0030,,1800–0030,1800–0030,,,,
142,臺中市,梧棲中港觀光夜市,120.5449052,24.24353684,,1600–0100,,1600–0100,1600–0100,1600–0100,,
143,臺中市,后里夜市,120.7242034,24.3082055,,,1700–2300,,,,,
144,臺中市,外埔夜市,130.2851026,33.2160914,,1700–2300,,,1700–2300,,,
145,臺中市,東勢夜市,120.6943244,24.1378873,,,,1700–2300,,,1700–2300,
146,臺中市,旱溪夜市,120.7009401,24.13369701,,1700–0000,,1700–0000,1700–0000,1700–0000,,
147,臺中市,太平東平夜市,136.8704723,35.1255385,1800–2300,,1800–2300,,,1800–2300,,
148,臺中市,大慶觀光夜市,116.6247085,40.3240424,,,1700–0000,,1700–0000,1700–0000,1700–0000,
149,臺中市,大肚山龍井自強夜市,,,,,1600–2300,,,1600–2300,,
150,臺中市,龍井茄投夜市,135.7467337,35.0315096,,,1650–2150,,,1650–2150,,
151,臺中市,龍井龍津夜市,135.7588841,35.0114342,1700–2330,,,,,,,
152,臺中市,神岡夜市,113.8991314,22.533095,,1730–2330,,,,,,
153,臺中市,沙鹿鹿峰夜市,135.1725587,34.2254594,,,,,,,,停止營業
154,彰化縣,彰化精誠夜市,,,,,1800–0100,,1800–0100,1800–0100,1800–0100,
155,彰化縣,彰化冠天夜市,129.8756182,32.7417799,,,,,,,1700–2300,
156,彰化縣,彰化中央陸橋夜市,,,,,,,1600–2100,,,
157,彰化縣,和美仁愛夜市,,,,1700–2200,,1700–2200,,,,
158,彰化縣,和美東發夜市,,,,,,1700–2300,,,,
159,彰化縣,和美美寮路夜市,,,,,,,,1700–2300,,
160,彰化縣,鹿港鹿和夜市,120.4406125,24.060388,,1700–2300,,1700–2300,,,1700–2300,
161,彰化縣,鹿港頂番夜市,,,,,,,1700–2300,,,
162,彰化縣,鹿港草港夜市,,,,,,1700–2300,,,,
163,彰化縣,福興夜市,115.0843703,40.5827917,1700–2300,,1700–2300,,,,,
164,彰化縣,線西夜市,109.8491908,36.6869274,1700–2300,,,,,,,
165,彰化縣,伸港水尾夜市,135.7820973,34.9987179,,,1700–2300,,,,,
166,彰化縣,伸港福安宮夜市,135.7820973,34.9987179,,,,,1700–2300,,,
167,彰化縣,秀水夜市,120.5076333,24.03848467,,,1700–2300,,,1700–2300,,
168,彰化縣,芬園社口夜市,116.6318577,40.3154721,1700–2300,,,,,,,
169,彰化縣,員林龍燈夜市,135.7658791,34.9948753,,1700–0000,,,1700–0000,1700–0000,1700–0000,
170,彰化縣,永靖觀光夜市,135.753443,35.017507,1700–2300,,,,,,,
171,彰化縣,大村夜市,120.5448298,23.99183172,1700–2300,,,,,,,
172,彰化縣,員林大圓林觀光夜市,135.7658791,34.9948753,,,1700–0000,,,,1700–0000,
173,彰化縣,員林林厝夜市,,,,,1700–2300,,,,1700–2300,
174,彰化縣,花壇夜市,120.5426629,24.0281506,,,1700–2300,,,,,
175,彰化縣,北斗觀光夜市,,,,,,,,1700–0000,,
176,彰化縣,溪州夜市,,,1700–2230,,,,,,,
177,彰化縣,芳苑草湖夜市,,,1700–2200,,,,,,,
178,彰化縣,田中夜市,130.3974023,33.5392017,1700–2300,,,1700–2300,,,,
179,彰化縣,田中高鐵夜市,120.5710877,23.87496884,,,,,1700–2300,,,
180,彰化縣,二水夜市,,,,,1700–2200,,,,,
181,彰化縣,田尾夜市,135.1862805,34.6938981,,,1700–2300,,,,1700–2300,
182,彰化縣,二林王子夜市,,,,,1700–2300,,,1700–2300,,
183,彰化縣,二林金仔角觀光夜市,,,,,1700–2300,,,,,
184,彰化縣,埔鹽夜市,,,,1700–2300,,,1700–2300,,,
185,彰化縣,埔鹽新水夜市,,,,,,,,1800–2230,,
186,彰化縣,埔鹽天盛夜市,,,,,1700–2300,,,,,
187,彰化縣,溪湖夜市,120.8401672,29.1420415,,1700–0000,,1700–0000,,1700–0000,1700–0000,
188,彰化縣,埤頭夜市,,,,,,1700–2300,,1700–2300,,
189,彰化縣,溪湖忠溪夜市,129.8753701,32.7416707,,1700–2300,,,,1700–2300,,
190,彰化縣,溪湖大公路夜市,,,,,1700–2300,,,,,
191,彰化縣,社頭芭樂市場夜市,,,,1700–2330,,,,1700–2330,,
192,彰化縣,田中鐵支路觀光夜市,,,1700–2300,,,,1700–2300,,,
193,彰化縣,田尾海豐崙夜市,,,,,,,,1700–0000,1700–0000,
194,彰化縣,埤頭星期四六夜市,,,,,,1800–2300,,1800–2300,,
195,彰化縣,芳苑王功夜市,135.6692888,35.0230217,,,1800–2200,,,,,
196,彰化縣,竹塘夜市,135.752032,35.034969,,,,1700–0000,,,,
197,彰化縣,大城夜市,108.3796113,21.7833332,,,,,,,1600–2100,
198,彰化縣,埤頭星期三夜市,,,,,1600–2300,,,,,
199,南投縣,草鞋墩人文觀光夜市,120.6870563,23.9884037,,1730–2300,,,1730–2300,1730–2300,1730–2300,
200,南投縣,南投市家樂福夜市,,,,,1730–2230,,,,,
201,南投縣,南崗夜市,117.2061732,36.6575628,,,,1700–0000,,,,
202,南投縣,南投祖祠路夜市,,,,,,,,,1700–2300,
203,南投縣,埔里城觀光夜市,,,,,,,1730–0000,1730–0000,1730–0000,
204,南投縣,國姓夜市,118.3879959,28.5721311,,,,,,,1700–2130,
205,南投縣,名間夜市,135.6782716,35.0183507,,,,,,1700–2200,,
206,南投縣,埔里樹人夜市,120.9742704,23.95982828,,,1800–0000,,,,,
207,南投縣,中興新村內轆夜市,135.7520663,35.0249488,,,,,,1730–2200,,
208,南投縣,松柏嶺夜市,120.6327431,23.83524923,,,,,1700–2200,,,
209,南投縣,鹿谷夜市,117.2975002,36.6833229,,,1730–2200,,1730–2200,,,
210,南投縣,竹山夜市,135.6817625,35.0184912,,,,1630–0000,,,,
211,南投縣,集集夜市,117.3253053,36.7059082,,1730–0000,,,,1730–0000,,
212,南投縣,水里夜市,,,,,,1630–2200,,,1630–2200,
213,南投縣,魚池夜市,135.759932,35.011004,,1700–2200,,,,,,
214,南投縣,中寮夜市,114.7434255,22.6788405,,1700–2300,,,,,,
215,雲林縣,斗六觀光夜市,120.5439553,23.6963399,,1700–0000,,,,1700–0000,1700–0000,
216,雲林縣,斗六成功夜市,,,,,1700–0000,,,1700–0000,,
217,雲林縣,斗六石榴班夜市,,,,,,1700–0000,,,,
218,雲林縣,大崙夜市,,,1700–2130。,1700–2130。,1700–2130。,1700–2130。,1700–2130。,1700–2130。,1700–2130。,
219,雲林縣,虎尾夜市,120.4285761,23.7155668,,,1700–0100,,1700–0100,,,
220,雲林縣,土庫夜市,120.3941072,23.67753356,1700–2200,,,,,,,
221,雲林縣,馬光夜市,,,,,1700–2230,,,,,
